Player,Nation,Pos,Squad,Comp,Age,90s,TacklesAttemptedp90,TacklesAttempted,TacklesWonp90,TacklesWon,Def. Duels Attemptedp90,Def. Duels Attempted,Def. Duels Won Perc,Succ Pressure Perc,Def 3rd Pressurep90,Def 3rd Pressure,Mid 3rd Pressurep90,Mid 3rd Pressure,Interceptionsp90,Interceptions,Foulsp90,Fouls,AerialDuels_won,AerialDuels_lost,AerialDuelsAttemptedp90,AerialDuelsPer,TimesDribbledPastp90,TimesDribbledPast,TouchesAttacking3rd
Jacobo\Jacobo,es ESP,DF,Celta Vigo,es La Liga,22,0.9,3.33,3,1.11,1,1.11,1,0,26.3,11.11,10,7.78,7,1.11,1,2.22,2,0,1,1.11,0,1.11,1,14
Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,36,2.7,2.22,6,1.48,4,2.22,6,16.7,34.6,6.67,18,2.96,8,1.48,4,0.37,1,11,4,5.56,73.3,1.85,5,3
Christophe Jallet\Christophe-Jallet,fr FRA,DF,Amiens,fr Ligue 1,35,9.5,2.95,28,1.58,15,3.68,35,31.4,27.8,7.89,75,7.89,75,1.89,18,0.74,7,11,14,2.63,44,2.53,24,170
Reece James\Reece-James,eng ENG,DF,Chelsea,eng Premier League,19,16.8,2.5,42,1.37,23,1.85,31,45.2,26.1,7.26,122,6.73,113,1.37,23,1.31,22,35,42,4.58,45.5,1.01,17,502
Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,eng Premier League,30,6.7,2.39,16,0.9,6,2.54,17,35.3,22.6,8.21,55,7.91,53,0.9,6,0.75,5,1,1,0.3,50,1.64,11,146
Laurent Jans\Laurent-Jans,lu LUX,DF,Paderborn 07,de Bundesliga,26,17.5,2.4,42,1.37,24,3.49,61,34.4,36.8,9.37,164,4.63,81,1.31,23,0.46,8,20,18,2.17,52.6,2.29,40,200
Tony Jantschke\Tony-Jantschke,de GER,DF,M'gladbach,de Bundesliga,29,11.2,3.48,39,1.43,16,2.59,29,55.2,35.7,6.7,75,4.38,49,2.5,28,1.52,17,25,27,4.64,48.1,1.16,13,51
Dennis Jastrzembski\Dennis-Jastrzembski,de GER,DFMF,Paderborn 07,de Bundesliga,19,2,1.5,3,1,2,1.5,3,0,28.2,4,8,9.5,19,1.5,3,0.5,1,0,3,1.5,0,1.5,3,31
Corentin Jean\Corentin-Jean,fr FRA,DF,Toulouse,fr Ligue 1,24,0.1,0,0,0,0,0,0,,0,10,1,0,0,0,0,0,0,0,0,0,,0,0,6
Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Augsburg,de Bundesliga,23,29.3,1.6,47,0.99,29,1.95,57,40.4,28.5,6.21,182,3.62,106,1.98,58,0.65,19,73,61,4.57,54.5,1.16,34,120
Jemerson\Jemerson,br BRA,DFMF,Monaco,fr Ligue 1,26,11.7,2.56,30,1.2,14,1.71,20,35,33.5,6.67,78,7.26,85,1.28,15,1.79,21,11,10,1.79,52.4,1.11,13,63
Juan Jesus\Juan-Jesus,br BRA,DF,Roma,it Serie A,28,1.5,2.67,4,1.33,2,2,3,0,50,11.33,17,3.33,5,0,0,2,3,1,3,2.67,25,2,3,0
Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,eng Premier League,19,3,2.67,8,1.33,4,2,6,66.7,16.7,6.33,19,3.33,10,1,3,2.67,8,8,5,4.33,61.5,0.67,2,43
Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,eng Premier League,27,1.5,2.67,4,1.33,2,1.33,2,100,50,8,12,3.33,5,2.67,4,2,3,12,5,11.33,70.6,0,0,9
Jony\Jony,es ESP,DF,Lazio,it Serie A,28,13.1,1.3,17,0.84,11,2.06,27,22.2,27.7,5.5,72,3.74,49,1.07,14,0.99,13,2,10,0.92,16.7,1.6,21,364
Vukašin Jovanovic\Vukasin-Jovanovic,rs SRB,DF,Bordeaux,fr Ligue 1,23,6.4,3.75,24,1.56,10,3.13,20,60,40,6.41,41,3.75,24,2.34,15,1.41,9,9,7,2.5,56.3,1.25,8,6
David Juncà\David-Junca,es ESP,DF,Celta Vigo,es La Liga,25,2.9,1.38,4,1.03,3,0.69,2,100,25,4.14,12,4.83,14,0.34,1,1.72,5,3,0,1.03,100,0,0,32
James Justin\James-Justin,eng ENG,DF,Leicester City,eng Premier League,21,11.2,3.13,35,1.7,19,2.05,23,56.5,36.1,6.7,75,5.27,59,0.8,9,0.71,8,16,26,3.75,38.1,0.89,10,267
Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,5.5,1.45,8,0.91,5,1.09,6,66.7,36.8,4.55,25,2.36,13,2.73,15,1.27,7,16,10,4.73,61.5,0.36,2,4
Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,19.7,2.84,56,1.83,36,1.62,32,56.3,36.7,7.66,151,3.2,63,1.78,35,1.12,22,81,28,5.53,74.3,0.71,14,39
Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,eng Premier League,28,25,1.6,40,0.96,24,1.44,36,44.4,34.7,5.64,141,3.56,89,1.48,37,0.88,22,60,45,4.2,57.1,0.8,20,27
Pavel Kaderábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,de Bundesliga,27,27.5,1.13,31,0.76,21,1.09,30,33.3,30.4,3.89,107,4.25,117,0.91,25,1.05,29,75,62,4.98,54.7,0.73,20,528
François Kamano\Francois-Kamano,gn GUI,DFMF,Bordeaux,fr Ligue 1,23,7.2,1.94,14,1.11,8,1.94,14,42.9,29.5,7.08,51,9.86,71,0.42,3,1.39,10,4,15,2.64,21.1,1.11,8,128
Boubacar Kamara\Boubacar-Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,19,23.8,3.19,76,2.23,53,2.9,69,40.6,35.8,6.13,146,8.15,194,1.55,37,0.97,23,57,42,4.16,57.6,1.72,41,94
Hassane Kamara\Hassane-Kamara,gm GAM,DFFW,Reims,fr Ligue 1,24,19,3.47,66,1.63,31,2.63,50,56,31,9.05,172,4.95,94,3,57,1,19,28,15,2.26,65.1,1.16,22,354
Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,18,14.6,2.26,33,1.37,20,2.05,30,30,32.5,8.22,120,4.45,65,1.99,29,0.68,10,21,30,3.49,41.2,1.44,21,162
Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,26,28.4,1.44,41,0.92,26,0.95,27,55.6,34.4,4.37,124,2.11,60,1.62,46,0.74,21,133,77,7.39,63.3,0.42,12,44
