Player,Nation,Pos,Squad,Comp,Age,90s,TacklesAttemptedp90,TacklesAttempted,TacklesWonp90,TacklesWon,Def. Duels Attemptedp90,Def. Duels Attempted,Def. Duels Won Perc,Succ Pressure Perc,Def 3rd Pressurep90,Def 3rd Pressure,Mid 3rd Pressurep90,Mid 3rd Pressure,Interceptionsp90,Interceptions,Foulsp90,Fouls,AerialDuels_won,AerialDuels_lost,AerialDuelsAttemptedp90,AerialDuelsPer,TimesDribbledPastp90,TimesDribbledPast,TouchesAttacking3rd
Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,eng Premier League,32,16.8,1.49,25,0.71,12,2.26,38,28.9,28.9,6.79,114,3.81,64,0.6,10,1.19,20,41,32,4.35,56.2,1.61,27,121
Adrián Marín\Adrian-Marin,es ESP,DF,Alavés,es La Liga,22,9.5,2,19,0.63,6,0.63,6,50,25.3,4.32,41,4.21,40,1.26,12,2.63,25,8,8,1.68,50,0.32,3,99
Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Alavés,es La Liga,25,1,0,0,0,0,1,1,0,40,3,3,1,1,2,2,0,0,3,1,4,75,1,1,0
Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,25,19.5,2.62,51,1.44,28,2.46,48,50,37.6,7.23,141,4.41,86,1.28,25,0.72,14,38,33,3.64,53.5,1.23,24,52
Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,23,20.2,2.13,43,1.04,21,1.24,25,40,26.8,7.33,148,3.02,61,1.83,37,1.19,24,21,28,2.43,42.9,0.74,15,33
Bruno Martella\Bruno-Martella,it ITA,DFMF,Brescia,it Serie A,26,14.1,1.35,19,0.64,9,1.28,18,61.1,18.1,3.9,55,4.54,64,1.35,19,0.5,7,12,16,1.99,42.9,0.5,7,197
Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,22,19.9,1.06,21,0.75,15,1.36,27,37,28,4.92,98,4.77,95,1.61,32,0.9,18,17,25,2.11,40.5,0.85,17,375
Álex Martínez\Alex-Martinez,es ESP,DF,Granada,es La Liga,28,0.2,0,0,0,0,0,0,,0,0,0,5,1,0,0,0,0,0,0,0,,0,0,7
Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,28,33,1.67,55,0.94,31,1.15,38,52.6,36.1,4.39,145,2.82,93,1.27,42,0.91,30,101,57,4.79,63.9,0.55,18,111
Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,de Bundesliga,30,7.5,1.73,13,1.07,8,1.6,12,41.7,28.1,5.73,43,5.6,42,2.67,20,1.6,12,27,10,4.93,73,0.93,7,25
Pablo Martinez\Pablo-Martinez,fr FRA,DF,Nîmes,fr Ligue 1,30,26,1.65,43,1.12,29,2.04,53,37.7,28.5,5.04,131,2.54,66,2.19,57,0.96,25,61,41,3.92,59.8,1.27,33,44
Gelson Martins\Gelson-Martins,pt POR,DFFW,Monaco,fr Ligue 1,24,18.6,1.67,31,1.08,20,2.37,44,22.7,26,4.09,76,5.7,106,0.97,18,0.75,14,8,19,1.45,29.6,1.83,34,462
Adam Marušic\Adam-Marusic,me MNE,DF,Lazio,it Serie A,26,10.5,1.43,15,0.76,8,1.52,16,37.5,28.3,5.05,53,5.71,60,1.24,13,0.76,8,12,14,2.48,46.2,0.95,10,189
Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,it Serie A,33,14.7,1.63,24,0.95,14,1.9,28,39.3,29.1,5.99,88,3.88,57,1.77,26,0.75,11,12,13,1.7,48,1.16,17,103
Andrea Masiello\Andrea-Masiello,it ITA,DF,Atalanta,it Serie A,33,6,2.33,14,2.17,13,2.5,15,60,31.6,5.67,34,7,42,1.67,10,1.67,10,11,5,2.67,68.8,1,6,25
Adam Masina\Adam-Masina,it ITA,DF,Watford,eng Premier League,25,20.2,1.98,40,1.24,25,2.23,45,31.1,29.4,5.89,119,5.2,105,1.39,28,1.29,26,66,29,4.7,69.5,1.53,31,269
Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,eng Premier League,25,10.4,4.13,43,2.6,27,2.88,30,36.7,29.1,12.31,128,7.79,81,1.25,13,0.96,10,11,10,2.02,52.4,1.83,19,177
Aleš Mateju\Ales-Mateju,cz CZE,DF,Brescia,it Serie A,23,28.3,1.8,51,1.02,29,1.94,55,45.5,27,8.98,254,4.1,116,1.45,41,1.66,47,52,34,3.04,60.5,1.06,30,175
Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,27,7.8,1.67,13,1.15,9,1.54,12,41.7,42.2,4.49,35,3.46,27,1.67,13,0.9,7,46,5,6.54,90.2,0.9,7,34
Federico Mattiello\Federico-Mattiello,it ITA,DF,Cagliari,it Serie A,24,10.3,3.2,33,1.94,20,2.33,24,41.7,31.2,5.83,60,4.56,47,1.65,17,1.55,16,9,15,2.33,37.5,1.36,14,173
Philipp Max\Philipp-Max,de GER,DF,Augsburg,de Bundesliga,25,30.1,1.26,38,0.83,25,1.4,42,28.6,32.2,5.88,177,5.48,165,0.93,28,0.43,13,24,29,1.76,45.3,1,30,514
Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,24,18.8,3.78,71,2.29,43,2.66,50,60,36.4,7.29,137,7.18,135,1.06,20,1.65,31,35,25,3.19,58.3,1.06,20,403
Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,24,16.7,1.08,18,0.66,11,1.32,22,36.4,26.8,5.21,87,5.45,91,0.9,15,1.38,23,24,18,2.51,57.1,0.84,14,178
Loïc Mbe Soh\Loic-Mbe-Soh,fr FRA,DF,Paris S-G,fr Ligue 1,18,0.6,3.33,2,1.67,1,1.67,1,100,16.7,5,3,3.33,2,1.67,1,0,0,1,2,5,33.3,0,0,24
Biagio Meccariello\Biagio-Meccariello,it ITA,DF,Lecce,it Serie A,28,8.5,2.71,23,1.76,15,4.12,35,28.6,35.7,8,68,4.47,38,1.18,10,0.82,7,12,18,3.53,40,2.94,25,64
Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,29,32,1.09,35,0.5,16,1.13,36,52.8,31.8,3.38,108,1.94,62,1.38,44,0.81,26,143,78,6.91,64.7,0.53,17,54
Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,fr Ligue 1,28,15.3,2.48,38,1.9,29,1.24,19,57.9,34.5,7.25,111,5.1,78,1.7,26,1.63,25,18,22,2.61,45,0.52,8,46
Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,eng Premier League,25,16.6,1.33,22,1.02,17,1.75,29,34.5,28.9,3.55,59,3.13,52,1.02,17,0.72,12,17,16,1.99,51.5,1.14,19,552
Ferland Mendy\Ferland-Mendy,fr FRA,DF,Real Madrid,es La Liga,24,20.1,1.54,31,0.8,16,0.95,19,52.6,32,3.38,68,3.18,64,1.14,23,1.24,25,23,20,2.14,53.5,0.45,9,496
Hamza Mendyl\Hamza-Mendyl,ma MAR,DF,Dijon,fr Ligue 1,21,16,3.69,59,1.69,27,3.5,56,55.4,25,7.13,114,7,112,1.75,28,1.5,24,6,15,1.31,28.6,1.56,25,237
Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,eng Premier League,21,10.1,2.28,23,1.39,14,1.58,16,56.3,37.1,8.22,83,4.16,42,1.68,17,1.09,11,36,21,5.64,63.2,0.69,7,24
Jorge Meré\Jorge-Mere,es ESP,DF,Köln,de Bundesliga,22,6.9,1.16,8,0.72,5,0.87,6,33.3,30.6,6.09,42,3.77,26,1.88,13,1.01,7,10,18,4.06,35.7,0.58,4,22
Yildirim Mert Çetin\Yildirim-Mert-Cetin,tr TUR,DF,Roma,it Serie A,22,2.9,1.72,5,1.03,3,1.03,3,66.7,32.3,6.21,18,4.14,12,1.38,4,2.07,6,6,4,3.45,60,0.34,1,9
Thomas Meunier\Thomas-Meunier,be BEL,DF,Paris S-G,fr Ligue 1,27,13.8,2.03,28,1.16,16,2.32,32,46.9,31.2,5.51,76,4.93,68,1.3,18,1.45,20,14,13,1.96,51.9,1.23,17,364
Mexer\Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,30,16.5,1.33,22,0.91,15,2,33,27.3,39.1,3.82,63,1.27,21,1.03,17,0.85,14,44,24,4.12,64.7,1.45,24,50
Florian Miguel\Florian-Miguel,fr FRA,DF,Nîmes,fr Ligue 1,22,22.8,2.28,52,1.36,31,2.46,56,42.9,33.1,5.26,120,3.64,83,1.4,32,1.93,44,35,28,2.76,55.6,1.4,32,350
Nikola Milenkovic\Nikola-Milenkovic,rs SRB,DF,Fiorentina,it Serie A,21,36.2,1.88,68,1.33,48,0.99,36,47.2,30.9,5.14,186,4.28,155,0.86,31,1.69,61,83,25,2.98,76.9,0.52,19,145
Éder Militão\Eder-Militao,br BRA,DF,Real Madrid,es La Liga,21,11.4,2.02,23,1.23,14,0.88,10,50,33.7,5,57,3.68,42,1.67,19,1.58,18,39,10,4.3,79.6,0.44,5,27
Yerry Mina\Yerry-Mina,co COL,DF,Everton,eng Premier League,24,25.4,1.69,43,0.79,20,1.06,27,55.6,28.8,6.1,155,2.36,60,1.14,29,0.79,20,112,63,6.89,64,0.47,12,72
Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,eng Premier League,26,32.2,0.78,25,0.53,17,0.56,18,55.6,41.3,3.29,106,1.34,43,1.02,33,0.62,20,66,40,3.29,62.3,0.25,8,54
Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,es La Liga,30,27,2.33,63,1.19,32,1.81,49,53.1,29.7,6.11,165,3.89,105,1.59,43,0.67,18,22,26,1.78,45.8,0.85,23,351
Juan Miranda\Juan-Miranda,es ESP,DF,Schalke 04,de Bundesliga,19,8.7,1.72,15,0.8,7,2.18,19,36.8,29,9.2,80,6.44,56,1.03,9,1.26,11,9,21,3.45,30,1.38,12,142
Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,19,2.2,2.73,6,0.91,2,4.09,9,11.1,27.1,10.91,24,6.82,15,1.36,3,0.45,1,1,6,3.18,14.3,3.64,8,38
Stefan Mitrovic\Stefan-Mitrovic,rs SRB,DF,Strasbourg,fr Ligue 1,29,22.8,0.88,20,0.66,15,0.79,18,33.3,36.3,5.31,121,1.93,44,1.18,27,0.79,18,53,31,3.68,63.1,0.53,12,22
Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFFW,Hertha BSC,de Bundesliga,22,21,3.14,66,1.67,35,3.05,64,37.5,26.8,8.33,175,6.67,140,2.14,45,1.14,24,44,24,3.24,64.7,1.9,40,402
Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,33,22,1.68,37,1.09,24,1.91,42,38.1,35.5,6.59,145,3.14,69,2.27,50,1.41,31,28,28,2.55,50,1.18,26,88
Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,eng Premier League,33,3,1.33,4,1.33,4,1,3,33.3,29.4,6.33,19,4.33,13,1,3,0.33,1,7,7,4.67,50,0.67,2,59
Nacho Monreal\Nacho-Monreal,es ESP,DF,Real Sociedad,es La Liga,33,26.6,1.5,40,0.9,24,1.99,53,45.3,26.5,4.44,118,4.77,127,1.65,44,1.32,35,61,32,3.5,65.6,1.09,29,399
Ilario Monterisi\Ilario-Monterisi,it ITA,DF,Lecce,it Serie A,17,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,0,#DIV/0!,,#DIV/0!,0,0
Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,eng Premier League,28,21.1,2.32,49,1.33,28,2.37,50,44,24.5,7.73,163,7.54,159,1.37,29,1.28,27,27,19,2.18,58.7,1.33,28,480
Steven Moreira\Steven-Moreira,fr FRA,DF,Toulouse,fr Ligue 1,24,15.4,2.73,42,1.75,27,1.95,30,73.3,28.2,7.73,119,6.17,95,1.04,16,1.88,29,8,18,1.69,30.8,0.52,8,222
Jérémy Morel\Jeremy-Morel,mg MAD,DF,Rennes,fr Ligue 1,35,20.1,1.14,23,0.8,16,1.19,24,29.2,31.7,3.98,80,2.59,52,0.9,18,0.5,10,32,25,2.84,56.1,0.85,17,108
Alberto Moreno\Alberto-Moreno,es ESP,DF,Villarreal,es La Liga,27,16.3,2.02,33,1.29,21,1.9,31,29,31.6,6.87,112,5.09,83,1.53,25,1.23,20,16,16,1.96,50,1.35,22,292
Álex Moreno\Alex-Moreno,es ESP,DF,Betis,es La Liga,26,25.2,1.59,40,0.95,24,1.39,35,20,28.5,6.55,165,5.67,143,0.99,25,1.23,31,19,30,1.94,38.8,1.11,28,582
Mateu Morey\Mateu-Morey,es ESP,DFFW,Dortmund,de Bundesliga,19,2.2,2.27,5,1.82,4,3.18,7,42.9,15.8,10.91,24,4.55,10,1.82,4,1.36,3,1,4,2.27,20,1.82,4,49
Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,eng Premier League,35,4.8,1.04,5,0.83,4,0.63,3,33.3,53.3,3.33,16,2.71,13,1.46,7,0.83,4,15,14,6.04,51.7,0.42,2,8
Raúl Moro\Raul-Moro,es ESP,DF,Lazio,it Serie A,16,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,1,#DIV/0!,0,#DIV/0!,0,1
Victor Moses\Victor-Moses,ng NGA,DF,Inter,it Serie A,28,4.7,1.28,6,0.64,3,1.49,7,42.9,40,3.83,18,2.77,13,0,0,1.28,6,3,3,1.28,50,0.85,4,147
Harold Moukoudi\Harold-Moukoudi,cm CMR,DF,Saint-Étienne,fr Ligue 1,21,11,2.64,29,1.73,19,1.91,21,66.7,38.8,5.91,65,3.27,36,1.45,16,1.09,12,37,16,4.82,69.8,0.64,7,14
Wesley Moustache\Wesley-Moustache,fr FRA,DF,Nantes,fr Ligue 1,20,0.5,0,0,0,0,0,0,,33.3,8,4,4,2,0,0,2,1,1,2,6,33.3,0,0,2
Samuel Moutoussamy\Samuel-Moutoussamy,cd COD,DFFW,Nantes,fr Ligue 1,22,5.8,1.03,6,0.34,2,1.9,11,36.4,27.1,4.83,28,6.55,38,0.69,4,0.17,1,1,7,1.38,12.5,1.21,7,130
Javi Moyano\Javi-Moyano,es ESP,DF,Valladolid,es La Liga,33,24.7,1.17,29,0.61,15,0.57,14,35.7,27.7,3.93,97,3.08,76,1.26,31,0.89,22,42,32,3,56.8,0.36,9,281
Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,de Bundesliga,21,19.8,3.33,66,1.92,38,2.22,44,52.3,37.5,7.32,145,5.2,103,2.53,50,0.76,15,49,13,3.13,79,1.06,21,370
Benoît Mukinayi\Benoit-Mukinayi,fr FRA,DF,Monaco,fr Ligue 1,18,15.7,1.4,22,0.76,12,0.83,13,38.5,35.5,4.08,64,3.38,53,1.59,25,1.21,19,53,26,5.03,67.1,0.51,8,38
Mert Müldür\Mert-Muldur,tr TUR,DF,Sassuolo,it Serie A,20,14.1,3.26,46,2.13,30,2.98,42,59.5,36.9,7.3,103,4.47,63,1.49,21,1.35,19,12,12,1.7,50,1.21,17,283
Aihen Muñoz\Aihen-Munoz,es ESP,DF,Real Sociedad,es La Liga,21,10.9,2.2,24,0.83,9,2.2,24,45.8,41,5.32,58,5.32,58,0.18,2,0.64,7,17,17,3.12,50,1.19,13,193
Jeison Murillo\Jeison-Murillo,co COL,DF,Sampdoria,it Serie A,27,7.4,2.16,16,1.35,10,2.97,22,40.9,30.2,7.7,57,3.65,27,1.35,10,1.35,10,13,12,3.38,52,1.76,13,20
Jeison Murillo\Jeison-Murillo,co COL,DF,Celta Vigo,es La Liga,27,17,2.18,37,1,17,1.71,29,55.2,31.6,6.47,110,2.35,40,0.94,16,1.18,20,52,35,5.12,59.8,0.76,13,24
Nicola Murru\Nicola-Murru,it ITA,DF,Sampdoria,it Serie A,24,25.1,1.87,47,1.35,34,1.79,45,48.9,28.4,4.62,116,4.74,119,1,25,1,25,38,33,2.83,53.5,0.92,23,362
Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,Milan,it Serie A,28,16.3,0.8,13,0.55,9,1.6,26,34.6,35.3,5.71,93,4.29,70,1.29,21,1.17,19,32,23,3.37,58.2,1.04,17,48
Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,eng Premier League,27,13.4,1.04,14,0.67,9,0.97,13,15.4,33.3,3.88,52,3.73,50,1.34,18,1.04,14,68,22,6.72,75.6,0.82,11,31
Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,de Bundesliga,25,3.5,4.29,15,1.71,6,3.71,13,53.8,27.9,11.14,39,5.14,18,0.86,3,0.86,3,4,8,3.43,33.3,1.71,6,44
Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,de Bundesliga,19,19.1,1.83,35,1.1,21,1.99,38,55.3,31.2,7.33,140,7.49,143,1.52,29,0.89,17,42,26,3.56,61.8,0.89,17,157
Abdallah N'dour\Abdallah-Ndour,sn SEN,DF,Strasbourg,fr Ligue 1,25,4.1,1.46,6,0.98,4,1.95,8,12.5,22.4,7.07,29,5.61,23,0.98,4,1.22,5,5,4,2.2,55.6,1.71,7,70
Stanley N'Soki\Stanley-NSoki,fr FRA,DF,Nice,fr Ligue 1,20,14.1,2.77,39,1.63,23,2.84,40,45,39.9,7.02,99,4.18,59,2.62,37,1.06,15,25,8,2.34,75.8,1.56,22,113
Nacho\Nacho,es ESP,DF,Real Madrid,es La Liga,29,4.9,2.45,12,1.22,6,2.45,12,33.3,26.9,4.29,21,5.1,25,2.04,10,1.84,9,15,8,4.69,65.2,1.63,8,374
Nacho\Nacho,es ESP,DF,Valladolid,es La Liga,30,21,2.43,51,1.33,28,2.33,49,30.6,32.4,8.9,187,4.29,90,1.14,24,1.33,28,9,18,1.29,33.3,1.62,34,94
Naldo\Naldo,br BRA,DF,Espanyol,es La Liga,30,14.8,1.62,24,0.95,14,1.01,15,46.7,34.2,4.12,61,3.51,52,1.49,22,1.35,20,30,22,3.51,57.7,0.54,8,29
Matija Nastasic\Matija-Nastasic,rs SRB,DF,Schalke 04,de Bundesliga,26,15.2,2.43,37,1.58,24,1.32,20,80,39.9,5.26,80,3.62,55,1.71,26,1.25,19,38,26,4.21,59.4,0.26,4,15
Marc Navarro\Marc-Navarro,es ESP,DF,Leganés,es La Liga,24,2.4,1.25,3,0.83,2,0.83,2,100,8.7,4.58,11,2.5,6,0,0,2.5,6,2,5,2.92,28.6,0,0,30
Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,es La Liga,29,21.1,2.23,47,1.28,27,1.37,29,37.9,30.1,6.45,136,5.73,121,2.61,55,1.37,29,37,29,3.13,56.1,0.85,18,152
Jesús Navas\Jesus-Navas,es ESP,DF,Sevilla,es La Liga,33,37.4,0.91,34,0.51,19,0.91,34,52.9,27.4,2.59,97,2.41,90,0.78,29,0.48,18,18,33,1.36,35.3,0.43,16,1091
Raúl Navas\Raul-Navas,es ESP,DF,Osasuna,es La Liga,31,7.9,1.9,15,1.39,11,1.77,14,21.4,43.3,4.94,39,3.54,28,2.41,19,1.14,9,13,10,2.91,56.5,1.39,11,5
Michel Ndary Adopo\Michel-Ndary-Adopo,fr FRA,DF,Torino,it Serie A,19,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,0,#DIV/0!,1,#DIV/0!,1,#DIV/0!,0,#DIV/0!,0,1,0,#DIV/0!,100,#DIV/0!,0,2
Carlos Neva\Carlos-Neva,es ESP,DF,Granada,es La Liga,23,24.5,0.65,16,0.29,7,0.69,17,47.1,22.8,4.94,121,4.53,111,1.31,32,0.53,13,20,29,2,40.8,0.37,9,282
Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,eng Premier League,18,4.9,3.88,19,2.45,12,4.69,23,30.4,30.4,16.12,79,5.92,29,1.43,7,0.82,4,8,11,3.88,42.1,3.27,16,44
Muzinga Ngonda\Muzinga-Ngonda,cd COD,DF,Dijon,fr Ligue 1,25,6,2.5,15,1.67,10,1.33,8,62.5,37.3,6.83,41,2.5,15,1.83,11,1.33,8,12,8,3.33,60,0.5,3,89
Ahmad Ngouyamsa\Ahmad-Ngouyamsa,cm CMR,DF,Dijon,fr Ligue 1,18,0.6,0,,0,0,0,,,,0,,0,,1.67,1,5,3,,,0,,0,,
Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,de Bundesliga,23,33,1.7,56,1.24,41,0.91,30,43.3,32.7,6.7,221,4.12,136,1.27,42,1.73,57,88,42,3.94,67.7,0.52,17,96
Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Torino,it Serie A,29,29.9,1.37,41,0.74,22,0.57,17,47.1,29.2,4.78,143,2.41,72,2.44,73,1.2,36,65,33,3.28,66.3,0.3,9,19
Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,de Bundesliga,29,7.8,0.51,4,0.26,2,0.64,5,0,23.4,4.36,34,1.41,11,1.92,15,0.38,3,19,8,3.46,70.4,0.64,5,17
Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Düsseldorf,de Bundesliga,24,11.1,1.98,22,1.35,15,1.35,15,46.7,31.6,6.85,76,3.15,35,2.25,25,0.81,9,22,14,3.24,61.1,0.72,8,28
Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,es La Liga,22,17.5,0.74,13,0.57,10,1.03,18,27.8,33.9,4.34,76,1.83,32,1.37,24,0.97,17,52,33,4.86,61.2,0.74,13,26
Bram Nuytinck\Bram-Nuytinck,nl NED,DF,Udinese,it Serie A,29,24.7,2.02,50,1.34,33,1.34,33,63.6,35.4,6.72,166,3.56,88,0.93,23,0.81,20,40,38,3.16,51.3,0.49,12,75
Gerzino Nyamsi\Gerzino-Nyamsi,fr FRA,DF,Rennes,fr Ligue 1,22,1.3,0.77,1,0,0,0,0,,0,3.85,5,1.54,2,0.77,1,3.08,4,1,2,2.31,33.3,0,0,1
Allan Nyom\Allan-Nyom,cm CMR,DFMF,Getafe,es La Liga,31,26.9,1.82,49,0.74,20,1.34,36,47.2,28.9,5.28,142,5.2,140,0.59,16,2.3,62,39,30,2.57,56.5,0.71,19,368
Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,eng Premier League,25,32.4,1.08,35,0.62,20,0.9,29,48.3,34.2,4.69,152,2.75,89,1.27,41,0.65,21,126,47,5.34,72.8,0.46,15,298
Rafael Obrador\Rafael-Obrador,es ESP,DF,Mallorca,es La Liga,15,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,1,0,0,#DIV/0!,0,#DIV/0!,1,#DIV/0!,0,#DIV/0!,0,0,0,#DIV/0!,,#DIV/0!,1,2
Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,de Bundesliga,30,33.5,2.15,72,1.1,37,1.76,59,50.8,37.5,5.55,186,3.76,126,1.13,38,0.78,26,25,43,2.03,36.8,0.87,29,562
Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Bayern Munich,de Bundesliga,23,1.7,0.59,1,0.59,1,2.35,4,25,31,5.88,10,4.12,7,1.18,2,0.59,1,1,3,2.35,25,1.76,3,69
Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,es La Liga,23,3.8,2.11,8,1.05,4,2.89,11,63.6,33.3,3.68,14,3.95,15,0.26,1,1.84,7,1,2,0.79,33.3,1.05,4,63
Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,eng Premier League,31,31,1.45,45,1.1,34,1.16,36,38.9,37.4,7.23,224,2.35,73,1.03,32,0.71,22,108,50,5.1,68.4,0.71,22,51
Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,es La Liga,25,34.9,1.83,64,1.03,36,1.52,53,54.7,30.3,5.79,202,3.95,138,0.97,34,0.74,26,37,34,2.03,52.1,0.69,24,543
Kiko Olivas\Kiko-Olivas,es ESP,DF,Valladolid,es La Liga,30,32.7,1.22,40,0.95,31,1.25,41,29.3,34.4,5.11,167,2.45,80,1.93,63,0.43,14,49,47,2.94,51,0.89,29,37
Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,es La Liga,27,23.2,1.47,34,0.65,15,1.21,28,46.4,31.7,4.53,105,3.06,71,1.98,46,0.86,20,80,46,5.43,63.5,0.65,15,33
Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,es La Liga,21,20.8,3.27,68,1.83,38,2.4,50,44,34.6,7.07,147,7.74,161,1.25,26,1.54,32,84,68,7.31,55.3,1.35,28,345
Maximiliano Olivera\Maximiliano-Olivera,uy URU,DF,Fiorentina,it Serie A,27,0.1,10,1,10,1,0,0,,50,20,2,20,2,0,0,0,0,0,0,0,,0,0,3
Kenneth Omeruo\Kenneth-Omeruo,ng NGA,DF,Leganés,es La Liga,25,20.8,1.63,34,1.15,24,0.48,10,60,39,4.81,100,1.88,39,1.92,40,0.72,15,72,31,4.95,69.9,0.19,4,20
Nicholas Opoku\Nicholas-Opoku,gh GHA,DF,Udinese,it Serie A,21,5.3,0,,1.51,8,0,,,,0,,0,,0.75,4,1.89,10,,,0,,0,,
Nicholas Opoku\Nicholas-Opoku,gh GHA,DF,Amiens,fr Ligue 1,21,7,0,,0.71,5,0,,,,0,,0,,1.14,8,1.43,10,,,0,,0,,
Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,de Bundesliga,26,9.5,2.32,22,1.68,16,2.21,21,47.6,40.8,6.42,61,3.68,35,1.37,13,0.63,6,39,19,6.11,67.2,1.16,11,25
Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,eng Premier League,31,19.1,1.15,22,0.63,12,1.62,31,41.9,33,3.4,65,1.99,38,0.99,19,1.1,21,59,27,4.5,68.6,0.94,18,46
Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,de Bundesliga,24,4.2,5.48,23,3.81,16,2.86,12,66.7,32.6,11.19,47,9.29,39,2.14,9,1.9,8,6,4,2.38,60,0.95,4,70
Ambroise Oyongo\Ambroise-Oyongo,cm CMR,DF,Montpellier,fr Ligue 1,28,20.2,0.99,20,0.4,8,0.94,19,42.1,25.4,6.09,123,5.64,114,0.84,17,0.69,14,22,24,2.28,47.8,0.54,11,354
Pablo\Pablo,br BRA,DF,Bordeaux,fr Ligue 1,28,24.1,1.49,36,1,24,1.16,28,57.1,33.5,4.81,116,1.78,43,1.58,38,1.08,26,113,33,6.06,77.4,0.5,12,44
Jon Pacheco\Jon-Pacheco,es ESP,DF,Real Sociedad,es La Liga,18,0.9,1.11,1,1.11,1,0,0,,55.6,5.56,5,4.44,4,0,0,2.22,2,2,0,2.22,100,0,0,1
Marko Pajac\Marko-Pajac,hr CRO,DF,Genoa,it Serie A,26,8.4,1.07,9,0.71,6,1.9,16,37.5,26.4,5,42,5.48,46,0.83,7,0.95,8,3,6,1.07,33.3,1.19,10,204
Sergi Palencia\Sergi-Palencia,es ESP,DF,Saint-Étienne,fr Ligue 1,23,5.2,2.69,14,1.54,8,1.15,6,50,40,4.81,25,7.5,39,1.54,8,1.54,8,1,12,2.5,7.7,0.58,3,92
Nicolas Pallois\Nicolas-Pallois,fr FRA,DF,Nantes,fr Ligue 1,31,21,2.81,59,1.19,25,3.14,66,42.4,34.6,6.38,134,3.33,70,1.76,37,0.95,20,39,31,3.33,55.7,1.81,38,52
