Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,xAp90,xA,Progpassesp90,Prog,SuccPassperc,KP90,KP,Targ,PassesReceivedp90,Final3rd,PassesFinal3rdp90,SCA,SCA90,PrgDistp90,PrgDist,npxGSh,Att,Attdribblesp90,SuccDribblesPerc,xG
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,0.09,3,2.73,95,68.9,0.66,23,1528,43.91,27,0.78,54,1.55,111.64,3885,0.16,49,1.41,51,15.6
138,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,0,0,0,0,63.6,0,0,397,11.03,9,0.25,2,0.06,34.03,1225,,1,0.03,100,0
139,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,0.12,1.5,9.13,115,77,1.67,21,635,50.4,49,3.89,39,3.09,208.25,2624,,30,2.38,70,0
140,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,0,0,0.33,1,82.5,0,0,115,38.33,2,0.67,7,2.37,83.33,250,0.07,12,4,66.7,0.5
141,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,0.12,1.2,7.96,82,72.5,1.55,16,400,38.83,15,1.46,20,1.95,111.36,1147,0.04,9,0.87,66.7,0.2
142,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30,0.1,3,5.4,162,76.3,1,30,1297,43.23,64,2.13,48,1.6,104.5,3135,0.04,73,2.43,63,0.5
143,Mathias Autret\Mathias-Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,0.22,3,6.18,84,67.8,2.21,30,635,46.69,37,2.72,55,4.05,111.62,1518,0.07,27,1.99,44.4,2
144,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,0.15,2.7,1.92,34,57.3,1.19,21,840,47.46,22,1.24,48,2.72,70.28,1244,0.1,33,1.86,45.5,7.1
145,Javier Avilés\Javier-Aviles,es ESP,MFFW,Leganés,es La Liga,21,1997,2,0.45,0.9,4.5,9,67.6,2.5,5,92,46,2,1,6,2.93,210.5,421,0.1,7,3.5,57.1,0.5
146,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,0,0.1,3.51,78,77.9,0.18,4,509,22.93,54,2.43,10,0.45,65.05,1444,0.07,5,0.23,60,0.7
